ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _last_editor_used_jetpack,Meta: _product_addons_exclude_global
,variable,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,I Am A Grumpy Veteran I Don't Care T-Shirt,-1,0,visible,,"<ul>
<li>Preshrunk jersey knit</li>
<li>Seamless double-needle 7/8"" collar</li>
<li>Taped neck and shoulders</li>
<li>Tear away label</li>
<li>Double-needle sleeve and bottom hems</li>
<li>Quarter-turned to eliminate center crease</li>
<li>Fiber content varies by color, see color list for exceptions</li>
<li><span>Printed in the USA</span></li>
</ul>
<p><strong>Special Features</strong></p>
<div>
<div>
<ul>
<li>
<em>Family Sizing </em>- This Gildan style is offered in Adult, Ladies and Youth sizings </li>
</ul>
</div>
<div>
<ul>
<li>
<em>HiVis</em> - This Gildan style includes specific colors that are high visibility certified for use as background colors. See color specific information for details.</li>
</ul>
</div>
</div>",,,,,1,999,2,0,0,,,,,1,,22.95,,,"cotton,etsy shirt,group-atm03,military,t-shirt,us veteran,veteran,",,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/1_e369288a-ed56-4fcd-9c60-0d1d0c31950a.png?v=1601021293,,,,,,,,,0,Color,"Black,Dark Chocolate,Navy,Forest Green,Red,Purple,",1,0,Size,"S,M,L,XL,2XL,3XL,4XL,5XL,",1,0,classic-editor,
,variation,5000-000000-M,Black / M,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,22.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/1_e369288a-ed56-4fcd-9c60-0d1d0c31950a.png?v=1601021293,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Black,1,0,Size,M,1,0,classic-editor,
,variation,5000-000000-L,Black / L,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,22.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/1_e369288a-ed56-4fcd-9c60-0d1d0c31950a.png?v=1601021293,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Black,1,0,Size,L,1,0,classic-editor,
,variation,5000-000000-XL,Black / XL,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,22.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/1_e369288a-ed56-4fcd-9c60-0d1d0c31950a.png?v=1601021293,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Black,1,0,Size,XL,1,0,classic-editor,
,variation,5000-000000-2XL,Black / 2XL,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,24.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/1_e369288a-ed56-4fcd-9c60-0d1d0c31950a.png?v=1601021293,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Black,1,0,Size,2XL,1,0,classic-editor,
,variation,5000-000000-3XL,Black / 3XL,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,25.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/1_e369288a-ed56-4fcd-9c60-0d1d0c31950a.png?v=1601021293,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Black,1,0,Size,3XL,1,0,classic-editor,
,variation,5000-000000-4XL,Black / 4XL,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,26.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/1_e369288a-ed56-4fcd-9c60-0d1d0c31950a.png?v=1601021293,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Black,1,0,Size,4XL,1,0,classic-editor,
,variation,5000-000000-5XL,Black / 5XL,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,32.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/1_e369288a-ed56-4fcd-9c60-0d1d0c31950a.png?v=1601021293,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Black,1,0,Size,5XL,1,0,classic-editor,
,variation,5000-42120A-S,Dark Chocolate / S,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,22.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_4cc3f2b7-f92b-4d8d-9be4-1cd7218690f3.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Dark Chocolate,1,0,Size,S,1,0,classic-editor,
,variation,5000-42120A-M,Dark Chocolate / M,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,22.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_4cc3f2b7-f92b-4d8d-9be4-1cd7218690f3.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Dark Chocolate,1,0,Size,M,1,0,classic-editor,
